,name,temp,humidity,cloudiness,wind
0,Kapaa,298.55,78,90,10.3
1,Rikitea,298.2,75,71,7.5
2,Lebu,284.71,83,15,1.16
3,Yellowknife,257.15,84,90,5.7
4,Montepuez,294.81,97,100,1.02
5,Punta Arenas,284.99,54,75,6.2
6,Chuy,293.32,79,7,5.23
7,Ushuaia,287.15,84,40,3.6
8,Hobart,288.71,38,75,4.6
9,Atuona,300.6,68,18,2.85
10,Geraldton,264.15,78,90,4.6
11,Greensburg,287.44,71,1,3.6
12,Kamphaeng Phet,295.21,67,70,0.73
13,Pisco,294.98,30,94,10.8
14,Saint-Philippe,271.86,86,90,4.1
15,The Valley,299.21,69,40,4.1
16,Alvorada,297.04,65,20,8.2
17,Louisville,275.93,79,90,7.2
18,Teacapan,295.19,50,31,1.41
19,Las Juntas,294.82,46,56,6.88
20,Mega,292.2,60,22,4.29
21,Avarua,300.15,94,0,2.6
22,Busselton,290.45,34,0,2.93
23,Port Hardy,278.15,93,90,4.1
24,Chinhoyi,292.34,93,90,2.41
25,Rome,279.53,93,40,1.5
26,Port Alfred,294.82,99,88,1.79
27,New Norfolk,289.06,38,75,4.6
28,Kirakira,302.05,71,41,4.8
29,Jutai,296.54,97,100,1.4
30,Fortuna,284.48,66,20,4.6
31,Longyearbyen,258.15,65,20,4.1
32,Arraial do Cabo,297.15,94,90,1.5
33,Vaini,288.28,74,0,1.25
34,Anadyr,238.15,66,0,2.0
35,Hermanus,290.44,91,8,6.95
36,Hofn,280.11,75,34,16.13
37,Cayenne,300.15,78,20,2.1
38,Blythe,293.16,28,1,2.6
39,Sioux Lookout,267.15,79,90,1.0
40,Valle del Guamuez,305.15,59,20,2.6
41,Bredasdorp,290.45,72,55,2.1
42,Mataura,287.04,73,99,10.28
43,Mayo,251.15,69,90,3.6
44,Lucapa,291.74,96,100,1.4
45,Aquin,298.5,80,50,2.34
46,Nikolskoye,273.66,74,90,7.0
47,Ilulissat,261.15,72,95,3.1
48,Karaton,299.14,88,40,3.1
49,San Patricio,298.72,52,11,2.05
50,Iqaluit,243.15,67,40,12.3
51,Codrington,300.23,57,0,1.0
52,Mount Gambier,289.15,63,100,6.2
53,Cortez,275.31,55,1,2.1
54,Upernavik,235.71,96,63,5.44
55,Saint George,276.0,64,98,2.1
56,Qaanaaq,232.95,56,0,2.89
57,Alenquer,300.15,94,75,1.38
58,Abalak,286.13,31,0,6.7
59,Waingapu,301.66,76,100,12.87
60,Sao Filipe,294.37,76,20,6.29
61,Saravan,274.15,86,75,2.1
62,Corn Island,300.84,78,16,9.1
63,Gamba,257.53,85,100,3.05
64,High Level,254.15,84,75,4.1
65,Mattru,293.97,68,5,0.58
66,Vilhena,296.15,100,75,2.1
67,Severo-Kurilsk,265.97,80,100,2.65
68,Khatanga,244.74,85,0,4.07
69,Namatanai,300.0,79,100,0.95
70,Harper,293.17,15,1,3.1
71,Hilo,296.03,78,75,2.1
72,Bluff,300.6,45,62,3.59
73,Vilyuysk,246.97,98,97,1.58
74,Dikson,256.93,90,100,10.92
75,Shiraoi,262.5,84,20,0.5
76,Castro,289.15,55,1,3.6
77,Vangaindrano,294.27,96,10,1.54
78,Rtishchevo,273.62,94,100,6.35
79,Ereymentau,265.82,90,100,7.65
80,Sinnamary,299.65,80,76,6.71
81,Hasaki,272.04,62,20,10.41
82,Laguna,301.15,69,40,4.1
83,Ranot,300.15,76,47,7.87
84,Northam,293.28,30,0,8.7
85,Victoria,299.44,83,75,1.0
86,Tasiilaq,270.15,92,100,2.23
87,Taree,300.64,54,90,5.1
88,Lavrentiya,249.48,85,83,4.73
89,Lakes Entrance,287.74,76,93,0.45
90,Yarada,297.8,81,75,6.52
91,Cape Town,291.07,82,20,1.5
92,Ribeira Grande,289.19,87,100,8.33
93,Talnakh,256.15,77,100,10.0
94,Vila Velha,301.55,69,20,2.6
95,Mar del Plata,288.32,58,28,5.56
96,The Pas,265.15,85,90,6.7
97,Torbay,273.46,91,90,3.1
98,Bukoba,297.5,62,70,2.34
99,Inuvik,241.88,74,75,1.5
100,Beaufort,298.26,83,75,1.0
101,Nanortalik,272.74,81,100,8.71
102,Road Town,298.89,74,40,3.1
103,Yarim,284.92,95,30,2.2
104,Pedana,294.06,97,4,2.18
105,Leningradskiy,250.01,63,17,0.58
106,Muros,278.64,100,40,3.1
107,Hithadhoo,301.63,67,94,2.67
108,Amarpur,288.22,91,79,0.88
109,Ponta do Sol,294.17,87,100,0.42
110,Ust-Nera,248.31,94,83,0.79
111,Klaksvik,282.15,93,100,3.1
112,Ambilobe,298.86,85,67,1.96
113,Saurimo,291.28,97,100,1.09
114,Lata,254.74,52,20,4.15
115,Ciudad Bolivar,300.1,61,1,4.72
116,Lamu,265.6,82,95,2.44
117,Meiktila,291.35,87,21,1.07
118,Shu,273.71,94,71,1.79
119,Hambantota,299.01,85,14,7.23
120,Cabo San Lucas,296.76,60,5,4.1
121,Luwingu,290.78,96,100,1.27
122,Padang,294.03,89,85,2.68
123,Yibin,283.46,66,98,0.42
124,Albany,275.17,86,90,2.1
125,Carnarvon,292.19,28,50,3.7
126,Popondetta,298.28,74,66,1.95
127,Mochalishche,271.15,92,90,6.0
128,Port Elizabeth,284.14,93,90,1.5
129,Butaritari,302.62,77,68,5.83
130,Paducah,277.3,69,90,3.1
131,Shelburne,272.66,92,90,5.95
132,Ingham,302.87,53,18,2.09
133,Ayan,262.49,82,62,3.73
134,Longonjo,288.81,98,100,1.73
135,Bandarbeyla,298.18,78,53,7.17
136,Tiksi,246.49,84,85,4.77
137,Port Hedland,300.15,54,100,7.2
138,Doka,293.28,44,2,6.7
139,Bethel,248.84,76,1,3.6
140,Souillac,274.76,93,0,2.87
141,Bambous Virieux,298.43,94,75,6.33
142,Traipu,298.63,75,97,5.47
143,Olinda,285.33,93,75,4.6
144,Morondava,297.74,85,0,1.18
145,Richards Bay,298.9,79,81,11.68
146,Takoradi,299.46,58,27,2.21
147,Cockburn Town,299.15,78,40,6.2
148,Jacona,277.74,48,1,1.5
149,Port Lincoln,288.52,79,100,8.07
150,Sao Joao da Barra,297.97,90,85,3.2
151,Muthill,281.33,81,75,5.7
152,Dzheguta,271.59,37,0,2.47
153,Puerto Maldonado,274.15,100,75,1.5
154,Esperance,287.15,71,0,6.2
155,Alice Springs,293.15,72,75,4.6
156,Georgetown,300.06,74,20,3.1
157,Bud,272.99,69,98,7.2
158,Bilibino,252.88,50,0,0.89
159,Impfondo,295.66,36,69,0.83
160,Mehran,284.19,59,0,4.08
161,Jamestown,284.81,55,100,7.73
162,Rio Grande,297.22,61,0,7.2
163,Kailua,297.39,94,90,7.2
164,Virden,268.16,94,100,3.1
165,Matagami,291.15,30,37,2.93
166,Santa Rosa,295.69,71,59,7.75
167,Kushima,274.66,67,20,4.1
168,Rajampet,293.92,95,87,1.68
169,Kaitangata,285.13,73,99,14.75
170,Wajima,277.85,69,100,8.81
171,Rudnogorsk,261.7,97,94,2.31
172,Biloela,300.83,46,0,1.69
173,East London,297.04,93,42,0.38
174,Kodiak,277.6,48,1,3.6
175,Isangel,302.15,62,20,7.7
176,Saint-Georges,271.67,100,100,0.78
177,Camacha,289.72,82,40,3.6
178,Baykit,262.79,92,100,3.25
179,Husavik,269.24,95,100,3.58
180,Chagoda,272.67,83,87,4.22
181,Rauma,272.15,50,0,6.7
182,Santa Maria,294.49,94,90,2.1
183,San Ramon,298.15,50,40,4.1
184,Port-Gentil,300.15,94,75,3.6
185,Umarizal,298.19,76,95,4.65
186,Quelimane,299.69,86,53,3.22
187,Shieli,271.2,82,56,1.39
188,Pauini,296.58,97,100,0.79
189,Narsaq,269.15,92,100,2.1
190,Dongying,275.23,70,100,2.68
191,Salalah,298.15,69,20,4.1
192,Saskylakh,244.11,96,49,2.91
193,Pathein,296.54,76,0,1.5
194,Potamia,278.18,57,100,0.89
195,Lhokseumawe,294.88,89,76,0.9
196,Puerto Ayora,300.18,58,20,6.7
197,Aklavik,241.33,67,40,3.1
198,Mahebourg,298.44,94,75,3.08
199,Aykhal,244.15,75,40,2.0
200,Severnoye,271.74,95,100,6.58
201,Isla Vista,289.23,63,1,2.1
202,Muli,277.83,94,98,1.25
203,Vila Franca do Campo,290.15,93,20,4.6
204,Tuktoyaktuk,241.15,67,20,5.7
205,Semey,261.93,88,0,4.69
206,Jacareacanga,296.7,88,65,0.39
207,Waiuku,292.81,59,100,7.7
208,Port Augusta,285.37,86,100,1.34
209,Vestmannaeyjar,279.98,74,96,12.83
210,Areka,293.83,72,91,0.64
211,Alyangula,302.15,83,88,1.0
212,Halifax,275.74,80,90,1.5
213,Mount Vernon,282.58,87,20,2.6
214,Pevek,252.3,64,0,1.32
215,Rabak,291.37,19,0,7.64
216,Tura,257.08,96,100,2.96
217,Sursk,273.71,77,100,5.79
218,Atlantis,291.09,82,20,1.5
219,Karratha,302.52,70,72,10.38
220,Donskoye,269.15,92,0,4.0
221,Novikovo,271.75,97,100,2.78
222,Broken Hill,292.15,29,57,13.4
223,Nakamura,278.59,56,20,9.8
224,Tazovskiy,264.63,92,100,8.79
225,Yulara,290.15,93,90,6.2
226,Moscow,273.67,85,75,5.0
227,Jhunjhunun,282.98,53,3,1.82
228,Lorengau,302.53,72,95,4.0
