,name,temp,humidity,cloudiness,latitude,wind
0,Kapaa,298.55,78,90,22.08,10.3
1,Rikitea,298.2,75,71,-23.12,7.5
2,Lebu,284.71,83,15,8.96,1.16
3,Yellowknife,257.15,84,90,62.45,5.7
4,Montepuez,294.81,97,100,-13.13,1.02
5,Punta Arenas,284.99,54,75,-53.16,6.2
6,Chuy,293.32,79,7,-33.69,5.23
7,Ushuaia,287.15,84,40,-54.81,3.6
8,Hobart,288.71,38,75,-42.88,4.6
9,Atuona,300.6,68,18,-9.8,2.85
10,Geraldton,264.15,78,90,49.72,4.6
11,Greensburg,287.44,71,1,30.83,3.6
12,Kamphaeng Phet,295.21,67,70,16.47,0.73
13,Pisco,294.98,30,94,-13.71,10.8
14,Saint-Philippe,271.86,86,90,45.36,4.1
15,The Valley,299.21,69,40,18.22,4.1
16,Alvorada,297.04,65,20,-30.0,8.2
17,Louisville,275.93,79,90,38.25,7.2
18,Teacapan,295.19,50,31,22.54,1.41
19,Las Juntas,294.82,46,56,10.28,6.88
20,Mega,292.2,60,22,4.06,4.29
21,Avarua,300.15,94,0,-21.21,2.6
22,Busselton,290.45,34,0,-33.64,2.93
23,Port Hardy,278.15,93,90,50.7,4.1
24,Chinhoyi,292.34,93,90,-17.36,2.41
25,Rome,279.53,93,40,41.89,1.5
26,Port Alfred,294.82,99,88,-33.59,1.79
27,New Norfolk,289.06,38,75,-42.78,4.6
28,Kirakira,302.05,71,41,-10.46,4.8
29,Jutai,296.54,97,100,-1.71,1.4
30,Fortuna,284.48,66,20,40.6,4.6
31,Longyearbyen,258.15,65,20,78.22,4.1
32,Arraial do Cabo,297.15,94,90,-22.97,1.5
33,Vaini,288.28,74,0,15.34,1.25
34,Anadyr,238.15,66,0,64.73,2.0
35,Hermanus,290.44,91,8,-34.42,6.95
36,Hofn,280.11,75,34,64.25,16.13
37,Cayenne,300.15,78,20,4.94,2.1
38,Blythe,293.16,28,1,33.61,2.6
39,Sioux Lookout,267.15,79,90,50.1,1.0
40,Valle del Guamuez,305.15,59,20,0.45,2.6
41,Bredasdorp,290.45,72,55,-34.53,2.1
42,Mataura,287.04,73,99,-46.19,10.28
43,Mayo,251.15,69,90,63.59,3.6
44,Lucapa,291.74,96,100,-8.42,1.4
45,Aquin,298.5,80,50,18.28,2.34
46,Nikolskoye,273.66,74,90,59.7,7.0
47,Ilulissat,261.15,72,95,69.22,3.1
48,Karaton,299.14,88,40,-6.34,3.1
49,San Patricio,298.72,52,11,-26.98,2.05
50,Iqaluit,243.15,67,40,63.75,12.3
51,Codrington,300.23,57,0,-28.95,1.0
52,Mount Gambier,289.15,63,100,-37.83,6.2
53,Cortez,275.31,55,1,37.35,2.1
54,Upernavik,235.71,96,63,72.79,5.44
55,Saint George,276.0,64,98,39.45,2.1
56,Qaanaaq,232.95,56,0,77.48,2.89
57,Alenquer,300.15,94,75,-1.95,1.38
58,Abalak,286.13,31,0,15.46,6.7
59,Waingapu,301.66,76,100,-9.65,12.87
60,Sao Filipe,294.37,76,20,14.9,6.29
61,Saravan,274.15,86,75,39.72,2.1
62,Corn Island,300.84,78,16,12.17,9.1
63,Gamba,257.53,85,100,28.28,3.05
64,High Level,254.15,84,75,58.52,4.1
65,Mattru,293.97,68,5,7.62,0.58
66,Vilhena,296.15,100,75,-12.74,2.1
67,Severo-Kurilsk,265.97,80,100,50.68,2.65
68,Khatanga,244.74,85,0,71.98,4.07
69,Namatanai,300.0,79,100,-3.66,0.95
70,Harper,293.17,15,1,30.3,3.1
71,Hilo,296.03,78,75,19.71,2.1
72,Bluff,300.6,45,62,-23.58,3.59
73,Vilyuysk,246.97,98,97,63.75,1.58
74,Dikson,256.93,90,100,73.51,10.92
75,Shiraoi,262.5,84,20,42.56,0.5
76,Castro,289.15,55,1,-42.48,3.6
77,Vangaindrano,294.27,96,10,-23.35,1.54
78,Rtishchevo,273.62,94,100,52.26,6.35
79,Ereymentau,265.82,90,100,51.62,7.65
